,Obj1XPos,Obj1YPos,Obj1Dir,Obj2XPos,Obj2YPos,Obj2Dir,CollisionX,CollisionY,Outcome
0,4,1,0,0,2,5,4,0,0
1,7,1,3,8,0,6,9,3,0
2,5,4,5,5,3,5,3,6,0
3,1,4,5,1,3,0,3,6,0
4,3,7,2,5,4,6,5,7,0
5,3,3,0,2,8,1,3,0,0
6,0,6,0,6,0,3,0,6,0
7,6,4,1,4,0,3,8,2,0
8,2,1,2,0,1,5,4,7,0
9,4,4,6,8,7,4,2,4,0
10,6,3,4,3,4,5,6,0,0
11,6,6,4,2,4,6,6,0,0
12,8,6,3,6,7,4,10,8,0
13,6,0,1,0,8,0,6,0,0
14,1,5,0,0,1,4,1,1,0
15,0,1,0,6,0,2,0,0,0
16,3,2,3,5,2,6,5,4,0
17,7,5,0,5,2,6,7,0,0
18,5,8,3,3,5,0,7,10,0
19,6,3,3,3,7,3,8,5,0
20,1,5,0,3,2,2,1,1,0
21,1,2,1,1,3,5,3,2,0
22,5,2,0,8,8,6,5,0,0
23,1,6,5,1,5,5,3,8,0
24,7,2,6,5,7,5,5,2,0
25,7,1,4,0,2,4,7,0,0
26,0,2,3,5,7,3,0,2,0
27,3,4,2,8,2,3,5,4,0
28,7,6,2,8,5,2,9,6,0
29,2,2,0,3,3,4,2,0,0
30,7,0,0,1,0,6,7,0,0
31,6,3,3,2,6,1,8,5,0
32,3,5,5,1,6,5,1,7,0
33,0,8,2,7,4,2,0,8,0
34,4,4,6,8,3,2,2,4,0
35,3,5,3,6,5,5,5,7,0
36,8,0,4,5,3,3,8,0,0
37,4,7,5,5,0,4,2,9,0
38,3,8,1,0,7,5,5,6,0
39,4,5,3,3,0,2,6,7,0
40,5,8,6,2,2,1,3,8,0
41,1,5,2,1,3,2,3,5,0
42,4,8,1,4,8,5,4,8,1
43,4,4,0,3,1,4,4,0,0
44,2,2,1,4,8,5,4,2,0
45,7,2,0,7,1,4,7,0,1
46,4,2,5,2,1,0,2,4,0
47,3,1,5,2,4,5,3,3,0
48,5,6,5,2,1,6,3,8,0
49,4,2,2,3,0,4,6,2,0
50,2,5,3,8,6,0,4,7,0
51,4,2,0,4,2,5,4,2,1
52,0,0,5,8,3,6,0,0,0
53,2,7,2,5,2,6,4,7,0
54,3,0,0,7,7,5,3,0,0
55,2,8,3,5,4,0,4,10,0
56,2,7,4,1,6,2,2,0,0
57,8,7,3,4,5,0,10,9,0
58,0,0,2,2,8,4,0,0,0
59,6,4,5,4,6,3,4,6,0
60,3,1,2,5,2,2,5,6,0
61,3,4,1,3,6,2,9,6,1
62,6,8,1,4,8,0,8,6,0
63,0,0,2,8,2,6,0,0,0
64,5,2,1,2,4,3,7,2,0
65,6,2,6,2,4,3,4,2,0
66,3,3,4,7,5,2,3,0,0
67,4,6,2,4,2,0,6,6,0
68,2,2,0,6,6,0,2,0,0
69,5,5,5,7,7,1,3,7,0
70,4,5,2,2,0,5,6,5,0
71,3,7,0,6,4,2,3,0,0
72,5,4,5,6,3,6,3,6,0
73,0,0,1,0,3,6,0,0,0
74,0,0,2,7,4,0,0,0,0
75,4,4,5,5,7,0,2,6,0
76,1,5,6,5,7,5,3,5,0
77,0,0,5,8,0,3,0,0,0
78,3,5,2,0,7,0,5,5,0
79,0,2,3,4,2,4,0,2,0
80,1,0,1,2,8,1,2,-1,0
81,4,6,0,2,2,2,4,0,0
82,6,6,5,7,7,2,4,8,0
83,3,8,3,8,4,5,5,10,0
84,7,0,3,6,7,2,7,0,0
85,8,2,0,2,3,6,8,0,0
86,4,2,2,5,1,0,6,2,0
87,6,3,3,2,0,6,8,5,0
88,4,3,5,2,7,3,2,5,0
89,2,6,2,6,7,6,4,6,0
90,1,8,0,5,4,0,1,1,0
91,8,0,1,4,8,4,8,0,0
92,3,2,1,0,2,3,5,2,0
93,8,7,2,6,0,6,10,7,0
