,obj1xPos,obj1yPos,obj1Dir,obj2xPos,obj2yPos,obj2Dir,objCxPos,objCyPos,count
0,1,9,3,6,2,3,3,7,20
1,6,2,5,4,3,7,4,4,20
2,5,3,4,1,7,3,5,7,4
3,5,5,1,0,1,2,7,3,20
4,6,4,0,9,3,6,6,2,20
5,9,1,7,9,1,7,9,1,0
6,9,9,7,7,8,4,0,0,20
7,7,8,7,6,6,7,5,6,20
8,4,8,5,9,5,0,2,8,20
9,2,3,4,5,4,2,2,4,11
10,2,7,2,2,8,5,4,7,20
11,0,5,4,7,5,0,2,7,20
12,9,0,4,0,8,1,7,2,20
13,3,4,6,8,7,6,1,4,20
14,0,0,1,9,5,0,0,0,20
15,0,5,0,4,7,4,0,0,20
16,7,3,4,3,5,6,7,5,10
17,3,3,4,7,1,0,3,5,20
18,2,4,3,4,4,0,4,6,20
19,4,7,3,5,4,7,6,9,20
20,5,3,5,6,1,6,3,5,20
21,3,3,3,6,4,5,0,0,20
22,4,4,0,8,1,7,4,2,20
23,3,6,1,4,5,5,5,4,20
24,5,5,2,9,0,1,7,5,20
25,2,2,1,3,2,3,4,0,20
26,1,3,4,4,2,4,1,5,20
27,6,1,5,3,6,7,4,3,20
28,5,3,3,8,4,1,7,5,20
29,0,7,0,7,1,7,0,0,20
30,5,2,7,8,3,5,3,0,20
31,4,3,2,7,0,0,7,3,3
32,7,9,7,3,7,1,5,7,20
33,9,6,7,4,2,0,4,7,13
34,8,1,6,6,2,2,6,1,20
35,6,1,7,2,7,1,4,1,20
36,9,2,0,7,6,7,9,0,20
37,8,3,2,6,1,0,6,3,4
38,8,9,7,0,1,3,4,5,4
39,9,7,4,1,0,2,0,0,20
40,1,7,3,4,7,5,3,9,20
41,1,8,1,2,0,1,3,6,20
42,9,4,0,0,1,0,7,2,20
43,4,0,2,6,0,3,6,3,20
44,5,5,4,6,3,7,5,7,20
45,2,4,2,4,4,3,4,4,20
46,8,3,2,2,2,2,8,3,20
47,2,7,2,7,7,6,4,7,20
48,4,5,3,7,1,3,6,7,20
49,6,7,6,8,7,2,2,7,8
50,0,4,6,5,0,5,2,4,20
51,3,4,1,5,9,5,5,2,20
52,4,6,3,5,0,7,6,8,20
53,5,2,3,8,9,6,7,4,20
54,0,6,7,0,2,1,4,2,4
55,8,2,6,2,0,2,6,2,20
56,3,4,3,3,2,1,7,6,8
57,3,9,0,0,5,2,3,7,20
58,4,5,0,8,9,2,4,3,20
59,7,4,4,1,2,4,7,6,20
60,0,8,4,2,4,0,1,8,20
61,7,3,7,0,4,1,5,1,20
62,1,4,6,6,3,4,1,4,20
63,7,6,0,6,6,4,7,4,20
64,8,7,5,7,5,5,6,9,20
65,0,5,4,6,9,3,2,7,20
66,3,5,7,5,9,2,1,3,20
67,9,7,5,3,1,1,7,9,20
68,3,8,2,4,1,5,5,8,20
69,4,2,1,2,8,0,6,0,20
70,4,0,6,7,8,0,0,0,20
71,4,3,2,0,7,1,6,3,20
72,2,4,1,9,7,0,4,2,20
73,8,5,7,1,3,4,6,3,20
74,9,5,0,6,3,1,1,8,13
75,9,0,7,5,5,5,7,2,20
76,2,1,6,0,5,7,0,1,20
77,8,7,4,0,9,0,8,1,10
78,7,3,2,9,7,2,9,3,20
79,1,0,7,5,2,4,1,2,20
80,8,0,6,3,9,6,0,0,20
81,6,4,0,1,0,0,6,2,20
82,1,5,1,9,5,4,3,3,20
